booking_id,passenger_id,flight_id,booking_date,payment_status
1,223221,9948,2019-06-04,Completed
2,171910,1078,2019-01-29,Cancelled
3,380071,5230,2019-01-29,Pending
4,190726,8092,2019-01-22,Cancelled
5,24874,6693,2019-01-27,Completed
6,258181,1256,2019-02-16,Cancelled
7,288135,7424,2019-03-28,Completed
8,250840,5923,2019-03-20,Pending
9,91616,41,2019-03-11,Completed
10,12417,7062,2019-03-28,Pending
11,40735,6332,2019-04-21,Pending
12,255590,7247,2019-03-16,Cancelled
13,92530,1715,2019-01-31,Pending
14,67920,4191,2019-01-10,Pending
15,291923,7447,2019-05-23,Pending
16,273654,8512,2019-05-06,Cancelled
17,328949,1400,2019-01-25,Pending
18,66476,10389,2019-04-06,Completed
19,246738,10682,2019-02-01,Pending
20,36982,94,2019-02-04,Completed
21,396861,9212,2019-01-07,Completed
22,194315,2820,2019-03-20,Pending
23,164762,8632,2019-05-10,Pending
24,7299,3251,2019-02-17,Pending
25,296680,4041,2019-03-22,Completed
26,287615,4660,2019-03-04,Cancelled
27,60635,7913,2019-03-23,Completed
28,3083,9302,2019-06-01,Cancelled
29,278703,2797,2019-01-24,Completed
30,270879,2450,2019-04-23,Pending
31,397365,10069,2019-01-10,Completed
32,32843,10188,2019-01-19,Completed
33,197528,5336,2019-02-13,Cancelled
34,96183,6408,2019-01-06,Cancelled
35,75530,4789,2019-01-06,Completed
36,260773,8482,2019-03-04,Cancelled
37,150456,5150,2019-02-24,Pending
38,365241,1666,2019-01-05,Completed
39,73448,2652,2019-05-06,Completed
40,177833,3594,2019-02-28,Completed
41,173446,4328,2019-01-04,Completed
42,322991,5164,2019-04-10,Cancelled
43,162577,1911,2019-01-04,Cancelled
44,214550,5037,2019-05-22,Completed
45,348892,310,2019-04-21,Completed
46,54635,788,2019-02-13,Pending
47,366363,7600,2019-01-27,Completed
48,77489,3697,2019-04-06,Pending
49,222642,1939,2019-02-28,Completed
50,286527,5003,2019-03-07,Cancelled
51,338949,6817,2019-03-10,Completed
52,365526,9938,2019-04-02,Cancelled
53,399740,491,2019-02-09,Completed
54,340208,2440,2019-03-04,Completed
55,302836,6427,2019-03-31,Completed
56,275092,7005,2019-02-12,Cancelled
57,283232,1196,2019-04-11,Pending
58,378803,9042,2019-03-22,Completed
59,84323,2674,2019-03-24,Cancelled
60,7718,1169,2019-02-08,Pending
61,63833,6229,2019-03-21,Cancelled
62,277315,4013,2019-02-23,Cancelled
63,36921,5923,2019-03-09,Completed
64,47292,5834,2019-02-09,Completed
65,330818,678,2019-02-02,Cancelled
66,266220,5009,2019-03-25,Completed
67,243694,5326,2019-03-20,Cancelled
68,370701,7686,2019-04-24,Cancelled
69,243798,579,2019-05-11,Pending
70,95335,1952,2019-04-05,Completed
71,238699,1861,2019-01-13,Cancelled
72,228294,6443,2019-03-07,Cancelled
73,362430,6151,2019-03-09,Cancelled
74,66742,6286,2019-03-21,Cancelled
75,97265,4395,2019-05-14,Completed
76,347249,8579,2019-02-08,Cancelled
77,368090,4570,2019-02-22,Pending
78,182168,7817,2019-04-21,Pending
79,29112,8815,2019-01-26,Pending
80,176987,2773,2019-01-27,Cancelled
81,52232,8490,2019-01-01,Completed
82,53637,1687,2019-02-26,Cancelled
83,33850,2024,2019-02-27,Completed
84,213583,3026,2019-02-15,Completed
85,163020,1062,2019-01-11,Cancelled
86,90530,6623,2019-05-15,Pending
87,148694,6537,2019-01-03,Pending
88,180781,7082,2019-02-14,Cancelled
89,195239,4406,2019-02-16,Completed
90,340494,6613,2019-04-20,Pending
91,355023,1550,2019-02-12,Completed
92,75131,11,2019-05-13,Pending
93,131733,9204,2019-02-15,Cancelled
94,171613,5292,2019-02-01,Pending
95,209697,3309,2019-05-21,Completed
96,131689,2546,2019-04-23,Completed
97,99608,5093,2019-01-29,Cancelled
98,96674,6019,2019-02-24,Pending
99,123241,3313,2019-01-21,Pending
100,37475,10657,2019-03-22,Cancelled
101,203620,2320,2019-01-04,Cancelled
102,62493,308,2019-01-17,Cancelled
103,266619,10275,2019-02-05,Completed
104,44733,1000,2019-05-05,Pending
105,73201,2510,2019-02-10,Pending
106,382911,2781,2019-02-03,Cancelled
107,125778,6211,2019-01-21,Cancelled
108,371223,4921,2019-04-15,Pending
109,182781,3543,2019-03-12,Cancelled
110,369272,7562,2019-03-02,Cancelled
111,158485,5962,2019-04-19,Cancelled
112,65719,351,2019-01-23,Completed
113,396934,392,2019-01-05,Completed
114,116094,1712,2019-05-07,Pending
115,333986,6203,2019-02-01,Completed
