payment_id,booking_id,amount,payment_method,payment_status,transaction_date
1,1,6216,Debit Card,Success,2019-06-04
5,5,2050,Debit Card,Success,2019-01-27
7,7,5636,Credit Card,Success,2019-03-28
9,9,9646,Credit Card,Success,2019-03-11
18,18,2017,UPI,Success,2019-04-06
20,20,13748,UPI,Success,2019-02-04
21,21,8073,UPI,Success,2019-01-07
25,25,9358,UPI,Success,2019-03-22
27,27,10368,PayPal,Success,2019-03-23
29,29,18492,Credit Card,Success,2019-01-24
31,31,3625,Debit Card,Success,2019-01-10
32,32,18799,Debit Card,Success,2019-01-19
35,35,6171,Debit Card,Success,2019-01-06
38,38,12346,UPI,Success,2019-01-05
39,39,4423,UPI,Success,2019-05-06
40,40,5769,PayPal,Success,2019-02-28
41,41,12373,UPI,Success,2019-01-04
44,44,10539,Debit Card,Success,2019-05-22
45,45,4174,UPI,Success,2019-04-21
47,47,10031,Credit Card,Success,2019-01-27
49,49,6528,Debit Card,Success,2019-02-28
51,51,10203,UPI,Success,2019-03-10
53,53,14069,Credit Card,Success,2019-02-09
54,54,12537,Credit Card,Success,2019-03-04
55,55,4823,UPI,Success,2019-03-31
58,58,13727,Debit Card,Success,2019-03-22
63,63,3943,PayPal,Success,2019-03-09
64,64,6810,Credit Card,Success,2019-02-09
66,66,4823,Credit Card,Success,2019-03-25
70,70,13029,Credit Card,Success,2019-04-05
75,75,9732,UPI,Success,2019-05-14
81,81,6857,Credit Card,Success,2019-01-01
83,83,8372,PayPal,Success,2019-02-27
84,84,11150,Debit Card,Success,2019-02-15
89,89,6587,Debit Card,Success,2019-02-16
91,91,3597,Debit Card,Success,2019-02-12
95,95,7171,Debit Card,Success,2019-05-21
96,96,3873,Debit Card,Success,2019-04-23
103,103,13832,PayPal,Success,2019-02-05
112,112,4544,Debit Card,Success,2019-01-23
113,113,6751,Debit Card,Success,2019-01-05
115,115,7005,PayPal,Success,2019-02-01
117,117,4441,Debit Card,Success,2019-03-16
118,118,3943,Credit Card,Success,2019-05-03
121,121,14594,PayPal,Success,2019-01-11
124,124,2575,Debit Card,Success,2019-02-02
128,128,10262,Credit Card,Success,2019-04-11
129,129,5224,UPI,Success,2019-03-12
133,133,3841,PayPal,Success,2019-01-08
138,138,10262,Debit Card,Success,2019-03-31
139,139,2754,UPI,Success,2019-03-31
140,140,6297,UPI,Success,2019-02-09
144,144,8073,Debit Card,Success,2019-04-13
146,146,12704,Credit Card,Success,2019-01-14
147,147,7341,PayPal,Success,2019-04-11
149,149,8016,UPI,Success,2019-02-13
153,153,3597,PayPal,Success,2019-04-03
154,154,10844,UPI,Success,2019-02-06
155,155,7384,Debit Card,Success,2019-02-18
156,156,6314,PayPal,Success,2019-01-31
159,159,4823,PayPal,Success,2019-04-07
160,160,6027,PayPal,Success,2019-02-08
163,163,14781,Debit Card,Success,2019-04-23
164,164,6146,Credit Card,Success,2019-01-13
165,165,14924,Debit Card,Success,2019-04-17
170,170,7832,UPI,Success,2019-02-05
171,171,4423,PayPal,Success,2019-03-01
175,175,12537,Debit Card,Success,2019-01-22
177,177,8824,PayPal,Success,2019-03-20
179,179,9564,Credit Card,Success,2019-01-04
182,182,13587,Debit Card,Success,2019-06-19
184,184,14178,Debit Card,Success,2019-04-18
185,185,7832,PayPal,Success,2019-02-26
187,187,13961,Credit Card,Success,2019-01-08
191,191,12295,UPI,Success,2019-02-10
195,195,8372,Credit Card,Success,2019-04-17
198,198,7757,Debit Card,Success,2019-01-11
202,202,9794,Credit Card,Success,2019-02-07
203,203,9508,Credit Card,Success,2019-02-18
205,205,15603,Debit Card,Success,2019-01-18
211,211,7038,Debit Card,Success,2019-01-02
212,212,8907,Debit Card,Success,2019-05-12
213,213,13873,PayPal,Success,2019-03-13
214,214,12692,UPI,Success,2019-05-22
216,216,8586,UPI,Success,2019-03-12
218,218,3573,UPI,Success,2019-02-08
219,219,14687,Debit Card,Success,2019-04-17
220,220,10197,Credit Card,Success,2019-01-30
225,225,11150,PayPal,Success,2019-02-01
230,230,12739,UPI,Success,2019-01-27
231,231,7757,Credit Card,Success,2019-04-12
232,232,13014,UPI,Success,2019-02-08
234,234,10262,UPI,Success,2019-05-12
236,236,1965,Debit Card,Success,2019-03-05
240,240,8016,UPI,Success,2019-04-02
242,242,7845,Debit Card,Success,2019-02-23
244,244,4878,UPI,Success,2019-01-29
245,245,3807,Credit Card,Success,2019-04-05
246,246,10697,Credit Card,Success,2019-01-25
247,247,10885,Debit Card,Success,2019-01-20
249,249,6094,Debit Card,Success,2019-01-18
253,253,5755,Debit Card,Success,2019-02-05
255,255,6593,PayPal,Success,2019-05-01
257,257,10031,PayPal,Success,2019-01-04
266,266,5000,Credit Card,Success,2019-03-14
267,267,3841,Debit Card,Success,2019-05-01
271,271,8147,UPI,Success,2019-01-02
275,275,11982,Debit Card,Success,2019-06-16
277,277,7198,Debit Card,Success,2019-05-09
281,281,14714,Credit Card,Success,2019-02-27
283,283,10844,UPI,Success,2019-04-14
292,292,10262,Credit Card,Success,2019-06-10
293,293,15147,Debit Card,Success,2019-03-02
294,294,6144,Credit Card,Success,2019-01-17
295,295,4049,Credit Card,Success,2019-01-31
297,297,7164,Credit Card,Success,2019-03-27
299,299,4823,PayPal,Success,2019-05-03
300,300,4148,UPI,Success,2019-02-23
301,301,4995,Credit Card,Success,2019-04-22
314,314,12373,UPI,Success,2019-04-14
316,316,6860,PayPal,Success,2019-02-27
326,326,9187,UPI,Success,2019-02-19
328,328,5510,Credit Card,Success,2019-03-19
330,330,8452,Credit Card,Success,2019-01-02
338,338,3873,UPI,Success,2019-03-07
341,341,4483,PayPal,Success,2019-04-05
342,342,8016,Debit Card,Success,2019-01-31
344,344,13292,PayPal,Success,2019-02-27
345,345,8366,PayPal,Success,2019-01-18
346,346,5678,UPI,Success,2019-01-14
347,347,6959,PayPal,Success,2019-04-10
348,348,8372,UPI,Success,2019-02-09
349,349,7485,Credit Card,Success,2019-05-01
350,350,13775,Credit Card,Success,2019-06-23
351,351,10405,Credit Card,Success,2019-01-05
354,354,6528,Debit Card,Success,2019-02-11
359,359,8452,Debit Card,Success,2019-01-12
360,360,7485,PayPal,Success,2019-03-30
362,362,10844,Debit Card,Success,2019-05-27
363,363,8586,UPI,Success,2019-05-12
364,364,7725,Debit Card,Success,2019-02-17
365,365,5515,UPI,Success,2019-03-24
369,369,10467,UPI,Success,2019-04-26
377,377,3573,UPI,Success,2019-03-03
380,380,3175,PayPal,Success,2019-01-02
384,384,2754,UPI,Success,2019-03-01
387,387,2017,PayPal,Success,2019-01-26
388,388,21571,Debit Card,Success,2019-01-11
392,392,10844,Debit Card,Success,2019-01-13
394,394,3919,Credit Card,Success,2019-02-03
396,396,14388,UPI,Success,2019-01-05
398,398,5678,UPI,Success,2019-06-21
399,399,9663,Credit Card,Success,2019-01-04
400,400,7229,Credit Card,Success,2019-03-25
403,403,3841,UPI,Success,2019-02-15
407,407,7408,Debit Card,Success,2019-01-26
409,409,9165,PayPal,Success,2019-05-27
413,413,6600,PayPal,Success,2019-05-02
418,418,9653,Credit Card,Success,2019-05-25
419,419,14815,Credit Card,Success,2019-01-05
424,424,6305,Credit Card,Success,2019-03-05
426,426,14388,PayPal,Success,2019-02-10
427,427,12257,Debit Card,Success,2019-03-11
428,428,5198,UPI,Success,2019-04-01
430,430,13399,UPI,Success,2019-01-14
431,431,10844,Debit Card,Success,2019-02-15
440,440,13677,UPI,Success,2019-01-18
446,446,3311,Credit Card,Success,2019-04-02
453,453,13587,PayPal,Success,2019-06-12
455,455,3673,Debit Card,Success,2019-03-27
457,457,12927,Debit Card,Success,2019-05-09
458,458,12819,Debit Card,Success,2019-03-03
459,459,6593,PayPal,Success,2019-01-08
464,464,6144,Debit Card,Success,2019-02-07
465,465,11664,Debit Card,Success,2019-01-31
471,471,13587,Debit Card,Success,2019-05-04
474,474,14687,Credit Card,Success,2019-02-28
476,476,13817,UPI,Success,2019-03-02
477,477,6121,Debit Card,Success,2019-02-09
478,478,4544,PayPal,Success,2019-03-08
479,479,8085,PayPal,Success,2019-05-21
480,480,13727,UPI,Success,2019-05-06
481,481,10262,UPI,Success,2019-02-24
482,482,8016,PayPal,Success,2019-05-04
486,486,5277,Debit Card,Success,2019-05-06
488,488,5048,UPI,Success,2019-06-01
490,490,4878,UPI,Success,2019-01-10
495,495,15135,Debit Card,Success,2019-01-26
496,496,7229,Debit Card,Success,2019-03-22
498,498,16079,Credit Card,Success,2019-02-19
499,499,10308,Debit Card,Success,2019-03-06
502,502,9920,Debit Card,Success,2019-02-27
503,503,5678,Credit Card,Success,2019-02-18
507,507,7229,Debit Card,Success,2019-04-02
509,509,5403,PayPal,Success,2019-01-12
510,510,3841,UPI,Success,2019-02-13
514,514,8855,Credit Card,Success,2019-04-27
516,516,10676,Credit Card,Success,2019-02-04
521,521,14067,PayPal,Success,2019-04-04
523,523,14781,Debit Card,Success,2019-03-05
525,525,14714,PayPal,Success,2019-02-23
528,528,8907,PayPal,Success,2019-05-23
534,534,8066,UPI,Success,2019-04-02
535,535,11789,UPI,Success,2019-06-07
538,538,12242,Debit Card,Success,2019-03-09
